targets,prior_key,channel,roi_baseline,roi_new,delta_abs,delta_pct
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",meta,1.0515972,0.026570657,1.025026543,0.9747330470259905
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",google,0.05148839,-0.04092361,0.092412,1.7948123839180057
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",snapchat,0.11643101,-0.01212319,0.1285542,1.104123377440426
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",tiktok,1.0426579,0.0341912,1.0084667,0.9672076526730388
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",moloco,0.32956377,0.07232722,0.25723655,0.7805364952585656
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",liveintent,0.36816603,0.41950423,0.0513382,0.13944306594500322
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",beehiiv,0.49058422,0.27842426,0.21215996000000004,0.4324638896864641
"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",amazon,1.4223278,0.20085232,1.2214754799999998,0.8587861954185245
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",meta,1.0515972,1.0321397,0.019457499999999905,0.018502806968295427
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",google,0.05148839,0.056304354,0.004815963999999999,0.09353495030627301
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",snapchat,0.11643101,0.11382586,0.0026051500000000005,0.02237505283171559
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",tiktok,1.0426579,1.0267985,0.01585940000000008,0.0152105498840992
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",moloco,0.32956377,0.29819897,0.03136479999999997,0.09517065543946157
"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.011706}}",liveintent,0.36816603,0.32501084,0.043155189999999954,0.1172166535842537
