channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
meta,-0.011637537,amazon,0.020759,0.006689,Normal
google,0.016392168,amazon,0.020759,0.006689,Normal
snapchat,-0.034514986,amazon,0.020759,0.006689,Normal
tiktok,-0.054253984,amazon,0.020759,0.006689,Normal
moloco,0.058701403,amazon,0.020759,0.006689,Normal
liveintent,0.3384381,amazon,0.020759,0.006689,Normal
beehiiv,0.21993291,amazon,0.020759,0.006689,Normal
amazon,0.02017166,amazon,0.020759,0.006689,Normal
meta,0.09497972,amazon,0.020759,0.006689,LogNormal
google,0.04764844,amazon,0.020759,0.006689,LogNormal
snapchat,0.08454402,amazon,0.020759,0.006689,LogNormal
tiktok,0.11932613,amazon,0.020759,0.006689,LogNormal
moloco,0.26755577,amazon,0.020759,0.006689,LogNormal
liveintent,0.2514637,amazon,0.020759,0.006689,LogNormal
beehiiv,0.3665548,amazon,0.020759,0.006689,LogNormal
amazon,1.0198288,amazon,0.020759,0.006689,LogNormal
meta,-0.0048712967,amazon,0.020759,0.011706,Normal
google,0.003957827,amazon,0.020759,0.011706,Normal
snapchat,-0.028101737,amazon,0.020759,0.011706,Normal
tiktok,-0.04837964,amazon,0.020759,0.011706,Normal
moloco,0.06169673,amazon,0.020759,0.011706,Normal
liveintent,0.28334022,amazon,0.020759,0.011706,Normal
beehiiv,0.3962118,amazon,0.020759,0.011706,Normal
amazon,0.022086289,amazon,0.020759,0.011706,Normal
meta,0.08840738,amazon,0.020759,0.011706,LogNormal
google,0.048963044,amazon,0.020759,0.011706,LogNormal
snapchat,0.09176259,amazon,0.020759,0.011706,LogNormal
tiktok,0.13509578,amazon,0.020759,0.011706,LogNormal
moloco,0.28664494,amazon,0.020759,0.011706,LogNormal
liveintent,0.22005875,amazon,0.020759,0.011706,LogNormal
beehiiv,0.3527551,amazon,0.020759,0.011706,LogNormal
amazon,1.0196111,amazon,0.020759,0.011706,LogNormal
meta,-0.024800563,amazon,0.020759,0.016722,Normal
google,-0.013336862,amazon,0.020759,0.016722,Normal
snapchat,4.291842e-05,amazon,0.020759,0.016722,Normal
tiktok,-0.025640955,amazon,0.020759,0.016722,Normal
moloco,0.067010686,amazon,0.020759,0.016722,Normal
liveintent,0.43073472,amazon,0.020759,0.016722,Normal
beehiiv,0.22142772,amazon,0.020759,0.016722,Normal
amazon,0.020855978,amazon,0.020759,0.016722,Normal
meta,0.08879183,amazon,0.020759,0.016722,LogNormal
google,0.04909237,amazon,0.020759,0.016722,LogNormal
snapchat,0.08806694,amazon,0.020759,0.016722,LogNormal
tiktok,0.13465407,amazon,0.020759,0.016722,LogNormal
moloco,0.2636616,amazon,0.020759,0.016722,LogNormal
liveintent,0.24678743,amazon,0.020759,0.016722,LogNormal
beehiiv,0.3533851,amazon,0.020759,0.016722,LogNormal
amazon,1.0131786,amazon,0.020759,0.016722,LogNormal
meta,-0.014037634,amazon,0.020759,0.023411,Normal
google,-0.006245628,amazon,0.020759,0.023411,Normal
snapchat,-0.0018789691,amazon,0.020759,0.023411,Normal
tiktok,-0.023725325,amazon,0.020759,0.023411,Normal
moloco,0.07956889,amazon,0.020759,0.023411,Normal
liveintent,0.17561644,amazon,0.020759,0.023411,Normal
beehiiv,0.34440896,amazon,0.020759,0.023411,Normal
amazon,0.02602205,amazon,0.020759,0.023411,Normal
meta,0.086554274,amazon,0.020759,0.023411,LogNormal
google,0.047556736,amazon,0.020759,0.023411,LogNormal
snapchat,0.08733859,amazon,0.020759,0.023411,LogNormal
tiktok,0.1251199,amazon,0.020759,0.023411,LogNormal
moloco,0.25176865,amazon,0.020759,0.023411,LogNormal
liveintent,0.2522004,amazon,0.020759,0.023411,LogNormal
beehiiv,0.35785124,amazon,0.020759,0.023411,LogNormal
amazon,1.0165181,amazon,0.020759,0.023411,LogNormal
meta,-0.018108677,amazon,0.020759,0.033445,Normal
google,-0.013619721,amazon,0.020759,0.033445,Normal
snapchat,-0.01899101,amazon,0.020759,0.033445,Normal
tiktok,-0.0013570616,amazon,0.020759,0.033445,Normal
moloco,0.060885467,amazon,0.020759,0.033445,Normal
liveintent,0.3849743,amazon,0.020759,0.033445,Normal
beehiiv,0.27900505,amazon,0.020759,0.033445,Normal
amazon,0.027427632,amazon,0.020759,0.033445,Normal
meta,0.08655272,amazon,0.020759,0.033445,LogNormal
google,0.047504783,amazon,0.020759,0.033445,LogNormal
snapchat,0.08876031,amazon,0.020759,0.033445,LogNormal
tiktok,0.12771888,amazon,0.020759,0.033445,LogNormal
moloco,0.25934145,amazon,0.020759,0.033445,LogNormal
liveintent,0.24142227,amazon,0.020759,0.033445,LogNormal
beehiiv,0.3771653,amazon,0.020759,0.033445,LogNormal
amazon,1.0140526,amazon,0.020759,0.033445,LogNormal
meta,-0.011279559,amazon,0.036328,0.006689,Normal
google,-0.013762024,amazon,0.036328,0.006689,Normal
snapchat,-0.026381517,amazon,0.036328,0.006689,Normal
tiktok,-0.021594156,amazon,0.036328,0.006689,Normal
moloco,0.061877508,amazon,0.036328,0.006689,Normal
liveintent,0.3767331,amazon,0.036328,0.006689,Normal
beehiiv,0.3397718,amazon,0.036328,0.006689,Normal
amazon,0.03634467,amazon,0.036328,0.006689,Normal
meta,0.08639969,amazon,0.036328,0.006689,LogNormal
google,0.046481412,amazon,0.036328,0.006689,LogNormal
snapchat,0.088198714,amazon,0.036328,0.006689,LogNormal
tiktok,0.12736754,amazon,0.036328,0.006689,LogNormal
moloco,0.2553211,amazon,0.036328,0.006689,LogNormal
liveintent,0.24604376,amazon,0.036328,0.006689,LogNormal
beehiiv,0.37264198,amazon,0.036328,0.006689,LogNormal
amazon,1.035775,amazon,0.036328,0.006689,LogNormal
meta,-0.016799169,amazon,0.036328,0.011706,Normal
google,-0.013002517,amazon,0.036328,0.011706,Normal
snapchat,-0.006361461,amazon,0.036328,0.011706,Normal
tiktok,-0.02105653,amazon,0.036328,0.011706,Normal
moloco,0.07660289,amazon,0.036328,0.011706,Normal
liveintent,0.27369758,amazon,0.036328,0.011706,Normal
beehiiv,0.24749716,amazon,0.036328,0.011706,Normal
amazon,0.034979638,amazon,0.036328,0.011706,Normal
meta,0.08726137,amazon,0.036328,0.011706,LogNormal
google,0.047039203,amazon,0.036328,0.011706,LogNormal
snapchat,0.08955884,amazon,0.036328,0.011706,LogNormal
tiktok,0.123404846,amazon,0.036328,0.011706,LogNormal
moloco,0.25457755,amazon,0.036328,0.011706,LogNormal
liveintent,0.24000585,amazon,0.036328,0.011706,LogNormal
beehiiv,0.38055998,amazon,0.036328,0.011706,LogNormal
amazon,1.0339761,amazon,0.036328,0.011706,LogNormal
meta,-0.016750682,amazon,0.036328,0.016722,Normal
google,-0.02566444,amazon,0.036328,0.016722,Normal
snapchat,0.013952427,amazon,0.036328,0.016722,Normal
tiktok,0.004417,amazon,0.036328,0.016722,Normal
moloco,0.052524716,amazon,0.036328,0.016722,Normal
liveintent,0.25769332,amazon,0.036328,0.016722,Normal
beehiiv,0.32773116,amazon,0.036328,0.016722,Normal
amazon,0.03484792,amazon,0.036328,0.016722,Normal
meta,0.092039034,amazon,0.036328,0.016722,LogNormal
google,0.04381068,amazon,0.036328,0.016722,LogNormal
snapchat,0.09155781,amazon,0.036328,0.016722,LogNormal
tiktok,0.12856427,amazon,0.036328,0.016722,LogNormal
moloco,0.2694048,amazon,0.036328,0.016722,LogNormal
liveintent,0.2425209,amazon,0.036328,0.016722,LogNormal
beehiiv,0.36266434,amazon,0.036328,0.016722,LogNormal
amazon,1.0336946,amazon,0.036328,0.016722,LogNormal
meta,-0.015859563,amazon,0.036328,0.023411,Normal
google,-0.029883048,amazon,0.036328,0.023411,Normal
snapchat,0.015930984,amazon,0.036328,0.023411,Normal
tiktok,-0.0030838812,amazon,0.036328,0.023411,Normal
moloco,0.057526946,amazon,0.036328,0.023411,Normal
liveintent,0.32048076,amazon,0.036328,0.023411,Normal
beehiiv,0.2716093,amazon,0.036328,0.023411,Normal
amazon,0.039950155,amazon,0.036328,0.023411,Normal
meta,0.08990453,amazon,0.036328,0.023411,LogNormal
google,0.04202599,amazon,0.036328,0.023411,LogNormal
snapchat,0.077177875,amazon,0.036328,0.023411,LogNormal
tiktok,0.13726643,amazon,0.036328,0.023411,LogNormal
moloco,0.26046044,amazon,0.036328,0.023411,LogNormal
liveintent,0.28100958,amazon,0.036328,0.023411,LogNormal
beehiiv,0.38097343,amazon,0.036328,0.023411,LogNormal
amazon,1.0377392,amazon,0.036328,0.023411,LogNormal
meta,-0.00041376744,amazon,0.036328,0.033445,Normal
google,-0.025047392,amazon,0.036328,0.033445,Normal
snapchat,-0.012805177,amazon,0.036328,0.033445,Normal
tiktok,-0.008631327,amazon,0.036328,0.033445,Normal
moloco,0.057657838,amazon,0.036328,0.033445,Normal
liveintent,0.45225763,amazon,0.036328,0.033445,Normal
beehiiv,0.3488484,amazon,0.036328,0.033445,Normal
amazon,0.048127286,amazon,0.036328,0.033445,Normal
meta,0.09020932,amazon,0.036328,0.033445,LogNormal
google,0.042066757,amazon,0.036328,0.033445,LogNormal
snapchat,0.073016636,amazon,0.036328,0.033445,LogNormal
tiktok,0.12702228,amazon,0.036328,0.033445,LogNormal
moloco,0.24863167,amazon,0.036328,0.033445,LogNormal
liveintent,0.3122368,amazon,0.036328,0.033445,LogNormal
beehiiv,0.35829142,amazon,0.036328,0.033445,LogNormal
amazon,1.0378101,amazon,0.036328,0.033445,LogNormal
meta,-0.0054705907,amazon,0.051898,0.006689,Normal
google,-0.024820488,amazon,0.051898,0.006689,Normal
snapchat,-0.022948584,amazon,0.051898,0.006689,Normal
tiktok,-0.004943797,amazon,0.051898,0.006689,Normal
moloco,0.061815936,amazon,0.051898,0.006689,Normal
liveintent,0.44313675,amazon,0.051898,0.006689,Normal
beehiiv,0.31834245,amazon,0.051898,0.006689,Normal
amazon,0.052699946,amazon,0.051898,0.006689,Normal
meta,0.096116886,amazon,0.051898,0.006689,LogNormal
google,0.046812683,amazon,0.051898,0.006689,LogNormal
snapchat,0.08692567,amazon,0.051898,0.006689,LogNormal
tiktok,0.13405624,amazon,0.051898,0.006689,LogNormal
moloco,0.25128153,amazon,0.051898,0.006689,LogNormal
liveintent,0.26499444,amazon,0.051898,0.006689,LogNormal
beehiiv,0.3561345,amazon,0.051898,0.006689,LogNormal
amazon,1.0526825,amazon,0.051898,0.006689,LogNormal
meta,-0.014773747,amazon,0.051898,0.011706,Normal
google,-0.017843459,amazon,0.051898,0.011706,Normal
snapchat,-0.005730332,amazon,0.051898,0.011706,Normal
tiktok,-0.022687513,amazon,0.051898,0.011706,Normal
moloco,0.06666235,amazon,0.051898,0.011706,Normal
liveintent,0.29453436,amazon,0.051898,0.011706,Normal
beehiiv,0.2866568,amazon,0.051898,0.011706,Normal
amazon,0.052922316,amazon,0.051898,0.011706,Normal
meta,0.08958941,amazon,0.051898,0.011706,LogNormal
google,0.042873304,amazon,0.051898,0.011706,LogNormal
snapchat,0.075741515,amazon,0.051898,0.011706,LogNormal
tiktok,0.13245523,amazon,0.051898,0.011706,LogNormal
moloco,0.26020107,amazon,0.051898,0.011706,LogNormal
liveintent,0.2577539,amazon,0.051898,0.011706,LogNormal
beehiiv,0.3763639,amazon,0.051898,0.011706,LogNormal
amazon,1.0524409,amazon,0.051898,0.011706,LogNormal
meta,0.0086324755,amazon,0.051898,0.016722,Normal
google,0.003814421,amazon,0.051898,0.016722,Normal
snapchat,-0.054975607,amazon,0.051898,0.016722,Normal
tiktok,-0.029601563,amazon,0.051898,0.016722,Normal
moloco,0.09214673,amazon,0.051898,0.016722,Normal
liveintent,0.23411496,amazon,0.051898,0.016722,Normal
beehiiv,0.3766,amazon,0.051898,0.016722,Normal
amazon,0.04941576,amazon,0.051898,0.016722,Normal
meta,0.092406794,amazon,0.051898,0.016722,LogNormal
google,0.049713742,amazon,0.051898,0.016722,LogNormal
snapchat,0.08008693,amazon,0.051898,0.016722,LogNormal
tiktok,0.12703325,amazon,0.051898,0.016722,LogNormal
moloco,0.28299844,amazon,0.051898,0.016722,LogNormal
liveintent,0.2559344,amazon,0.051898,0.016722,LogNormal
beehiiv,0.35068962,amazon,0.051898,0.016722,LogNormal
amazon,1.0562929,amazon,0.051898,0.016722,LogNormal
meta,-0.01048377,amazon,0.051898,0.023411,Normal
google,-0.024748854,amazon,0.051898,0.023411,Normal
snapchat,-0.03040475,amazon,0.051898,0.023411,Normal
tiktok,-0.028535366,amazon,0.051898,0.023411,Normal
moloco,0.07329194,amazon,0.051898,0.023411,Normal
liveintent,0.559686,amazon,0.051898,0.023411,Normal
beehiiv,0.300993,amazon,0.051898,0.023411,Normal
amazon,0.05480353,amazon,0.051898,0.023411,Normal
meta,0.095539525,amazon,0.051898,0.023411,LogNormal
google,0.043826822,amazon,0.051898,0.023411,LogNormal
snapchat,0.07804151,amazon,0.051898,0.023411,LogNormal
tiktok,0.13033512,amazon,0.051898,0.023411,LogNormal
moloco,0.23988691,amazon,0.051898,0.023411,LogNormal
liveintent,0.24518266,amazon,0.051898,0.023411,LogNormal
beehiiv,0.3638584,amazon,0.051898,0.023411,LogNormal
amazon,1.0542883,amazon,0.051898,0.023411,LogNormal
meta,-0.022270536,amazon,0.051898,0.033445,Normal
google,-0.015883924,amazon,0.051898,0.033445,Normal
snapchat,-0.005852475,amazon,0.051898,0.033445,Normal
tiktok,-0.04350453,amazon,0.051898,0.033445,Normal
moloco,0.072222464,amazon,0.051898,0.033445,Normal
liveintent,0.37150759,amazon,0.051898,0.033445,Normal
beehiiv,0.32866952,amazon,0.051898,0.033445,Normal
amazon,0.05962605,amazon,0.051898,0.033445,Normal
meta,0.09742364,amazon,0.051898,0.033445,LogNormal
google,0.04663052,amazon,0.051898,0.033445,LogNormal
snapchat,0.088168725,amazon,0.051898,0.033445,LogNormal
tiktok,0.121339664,amazon,0.051898,0.033445,LogNormal
moloco,0.26256207,amazon,0.051898,0.033445,LogNormal
liveintent,0.26214772,amazon,0.051898,0.033445,LogNormal
beehiiv,0.35927522,amazon,0.051898,0.033445,LogNormal
amazon,1.0331831,amazon,0.051898,0.033445,LogNormal
meta,-0.032316443,amazon,0.072657,0.006689,Normal
google,-0.025902754,amazon,0.072657,0.006689,Normal
snapchat,0.0011968098,amazon,0.072657,0.006689,Normal
tiktok,-0.022132732,amazon,0.072657,0.006689,Normal
moloco,0.09624471,amazon,0.072657,0.006689,Normal
liveintent,0.41801396,amazon,0.072657,0.006689,Normal
beehiiv,0.26732785,amazon,0.072657,0.006689,Normal
amazon,0.072450414,amazon,0.072657,0.006689,Normal
meta,0.08627126,amazon,0.072657,0.006689,LogNormal
google,0.04657174,amazon,0.072657,0.006689,LogNormal
snapchat,0.09022524,amazon,0.072657,0.006689,LogNormal
tiktok,0.12161342,amazon,0.072657,0.006689,LogNormal
moloco,0.24544987,amazon,0.072657,0.006689,LogNormal
liveintent,0.2342827,amazon,0.072657,0.006689,LogNormal
beehiiv,0.38739574,amazon,0.072657,0.006689,LogNormal
amazon,1.0735289,amazon,0.072657,0.006689,LogNormal
meta,-0.006553887,amazon,0.072657,0.011706,Normal
google,-0.019705515,amazon,0.072657,0.011706,Normal
snapchat,-0.026266998,amazon,0.072657,0.011706,Normal
tiktok,-0.0080566835,amazon,0.072657,0.011706,Normal
moloco,0.06464496,amazon,0.072657,0.011706,Normal
liveintent,0.42255244,amazon,0.072657,0.011706,Normal
beehiiv,0.26851004,amazon,0.072657,0.011706,Normal
amazon,0.075022705,amazon,0.072657,0.011706,Normal
meta,0.08111867,amazon,0.072657,0.011706,LogNormal
google,0.04405345,amazon,0.072657,0.011706,LogNormal
snapchat,0.07716303,amazon,0.072657,0.011706,LogNormal
tiktok,0.11946057,amazon,0.072657,0.011706,LogNormal
moloco,0.26236138,amazon,0.072657,0.011706,LogNormal
liveintent,0.28088874,amazon,0.072657,0.011706,LogNormal
beehiiv,0.3454034,amazon,0.072657,0.011706,LogNormal
amazon,1.0735697,amazon,0.072657,0.011706,LogNormal
meta,-0.005640731,amazon,0.072657,0.016722,Normal
google,-0.014388405,amazon,0.072657,0.016722,Normal
snapchat,-0.007576719,amazon,0.072657,0.016722,Normal
tiktok,-0.061044347,amazon,0.072657,0.016722,Normal
moloco,0.083452895,amazon,0.072657,0.016722,Normal
liveintent,0.3619323,amazon,0.072657,0.016722,Normal
beehiiv,0.36294028,amazon,0.072657,0.016722,Normal
amazon,0.07431802,amazon,0.072657,0.016722,Normal
meta,0.08621526,amazon,0.072657,0.016722,LogNormal
google,0.047056355,amazon,0.072657,0.016722,LogNormal
snapchat,0.09066214,amazon,0.072657,0.016722,LogNormal
tiktok,0.12612186,amazon,0.072657,0.016722,LogNormal
moloco,0.2554658,amazon,0.072657,0.016722,LogNormal
liveintent,0.22529416,amazon,0.072657,0.016722,LogNormal
beehiiv,0.3596964,amazon,0.072657,0.016722,LogNormal
amazon,1.0725982,amazon,0.072657,0.016722,LogNormal
meta,-0.012820853,amazon,0.072657,0.023411,Normal
google,-0.012297219,amazon,0.072657,0.023411,Normal
snapchat,-0.016162438,amazon,0.072657,0.023411,Normal
tiktok,-0.051978134,amazon,0.072657,0.023411,Normal
moloco,0.1115417,amazon,0.072657,0.023411,Normal
liveintent,0.49038735,amazon,0.072657,0.023411,Normal
beehiiv,0.37330604,amazon,0.072657,0.023411,Normal
amazon,0.07086779,amazon,0.072657,0.023411,Normal
meta,0.088512294,amazon,0.072657,0.023411,LogNormal
google,0.046984207,amazon,0.072657,0.023411,LogNormal
snapchat,0.08777444,amazon,0.072657,0.023411,LogNormal
tiktok,0.1292041,amazon,0.072657,0.023411,LogNormal
moloco,0.2342534,amazon,0.072657,0.023411,LogNormal
liveintent,0.24180794,amazon,0.072657,0.023411,LogNormal
beehiiv,0.36830336,amazon,0.072657,0.023411,LogNormal
amazon,1.0658529,amazon,0.072657,0.023411,LogNormal
meta,-0.022662513,amazon,0.072657,0.033445,Normal
google,-0.023779064,amazon,0.072657,0.033445,Normal
snapchat,-0.023752784,amazon,0.072657,0.033445,Normal
tiktok,-0.0056218468,amazon,0.072657,0.033445,Normal
moloco,0.08147215,amazon,0.072657,0.033445,Normal
liveintent,0.45697197,amazon,0.072657,0.033445,Normal
beehiiv,0.32443646,amazon,0.072657,0.033445,Normal
amazon,0.0801127,amazon,0.072657,0.033445,Normal
meta,0.08953223,amazon,0.072657,0.033445,LogNormal
google,0.051499736,amazon,0.072657,0.033445,LogNormal
