channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
meta,-0.039077684,beehiiv,0.020759,0.006689,Normal
google,-0.021287892,beehiiv,0.020759,0.006689,Normal
snapchat,-0.013499369,beehiiv,0.020759,0.006689,Normal
tiktok,-0.019150222,beehiiv,0.020759,0.006689,Normal
moloco,0.13340607,beehiiv,0.020759,0.006689,Normal
liveintent,0.52886504,beehiiv,0.020759,0.006689,Normal
beehiiv,0.019884957,beehiiv,0.020759,0.006689,Normal
amazon,0.30957514,beehiiv,0.020759,0.006689,Normal
meta,0.08954287,beehiiv,0.020759,0.006689,LogNormal
google,0.043141946,beehiiv,0.020759,0.006689,LogNormal
snapchat,0.08712734,beehiiv,0.020759,0.006689,LogNormal
tiktok,0.11760193,beehiiv,0.020759,0.006689,LogNormal
moloco,0.22964442,beehiiv,0.020759,0.006689,LogNormal
liveintent,0.22706917,beehiiv,0.020759,0.006689,LogNormal
beehiiv,1.0193393,beehiiv,0.020759,0.006689,LogNormal
amazon,0.6922039,beehiiv,0.020759,0.006689,LogNormal
meta,-0.04409311,beehiiv,0.020759,0.011706,Normal
google,0.002348133,beehiiv,0.020759,0.011706,Normal
snapchat,0.008588848,beehiiv,0.020759,0.011706,Normal
tiktok,-0.06720329,beehiiv,0.020759,0.011706,Normal
moloco,0.0899867,beehiiv,0.020759,0.011706,Normal
liveintent,0.2781263,beehiiv,0.020759,0.011706,Normal
beehiiv,0.01971085,beehiiv,0.020759,0.011706,Normal
amazon,0.33643368,beehiiv,0.020759,0.011706,Normal
meta,0.09205157,beehiiv,0.020759,0.011706,LogNormal
google,0.04422109,beehiiv,0.020759,0.011706,LogNormal
snapchat,0.08327803,beehiiv,0.020759,0.011706,LogNormal
tiktok,0.11163064,beehiiv,0.020759,0.011706,LogNormal
moloco,0.24320439,beehiiv,0.020759,0.011706,LogNormal
liveintent,0.23165491,beehiiv,0.020759,0.011706,LogNormal
beehiiv,1.0163999,beehiiv,0.020759,0.011706,LogNormal
amazon,0.7937558,beehiiv,0.020759,0.011706,LogNormal
meta,-0.06963498,beehiiv,0.020759,0.016722,Normal
google,-0.024643656,beehiiv,0.020759,0.016722,Normal
snapchat,0.0022925152,beehiiv,0.020759,0.016722,Normal
tiktok,-0.04845106,beehiiv,0.020759,0.016722,Normal
moloco,0.17169115,beehiiv,0.020759,0.016722,Normal
