channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
meta,-0.015787292,google,0.020759,0.006689,Normal
google,0.019122291,google,0.020759,0.006689,Normal
snapchat,-0.02788729,google,0.020759,0.006689,Normal
tiktok,-0.06581515,google,0.020759,0.006689,Normal
moloco,0.076682255,google,0.020759,0.006689,Normal
liveintent,0.24323368,google,0.020759,0.006689,Normal
beehiiv,0.2814912,google,0.020759,0.006689,Normal
amazon,0.30528146,google,0.020759,0.006689,Normal
meta,0.525301,google,0.020759,0.006689,LogNormal
google,1.0167578,google,0.020759,0.006689,LogNormal
snapchat,0.15206122,google,0.020759,0.006689,LogNormal
tiktok,0.2699682,google,0.020759,0.006689,LogNormal
moloco,0.53136575,google,0.020759,0.006689,LogNormal
liveintent,0.4843827,google,0.020759,0.006689,LogNormal
beehiiv,0.7381707,google,0.020759,0.006689,LogNormal
amazon,1.6191078,google,0.020759,0.006689,LogNormal
meta,-0.04061075,google,0.020759,0.011706,Normal
google,0.010818364,google,0.020759,0.011706,Normal
snapchat,-0.022522774,google,0.020759,0.011706,Normal
tiktok,-0.059794538,google,0.020759,0.011706,Normal
moloco,0.10619795,google,0.020759,0.011706,Normal
liveintent,0.33948427,google,0.020759,0.011706,Normal
beehiiv,0.30262873,google,0.020759,0.011706,Normal
amazon,0.35710043,google,0.020759,0.011706,Normal
meta,0.5056555,google,0.020759,0.011706,LogNormal
google,1.0023191,google,0.020759,0.011706,LogNormal
snapchat,0.13622262,google,0.020759,0.011706,LogNormal
tiktok,0.314,google,0.020759,0.011706,LogNormal
moloco,0.47789335,google,0.020759,0.011706,LogNormal
liveintent,0.49917373,google,0.020759,0.011706,LogNormal
beehiiv,0.6156913,google,0.020759,0.011706,LogNormal
amazon,1.4083983,google,0.020759,0.011706,LogNormal
meta,-0.047355585,google,0.020759,0.016722,Normal
google,-0.0037674748,google,0.020759,0.016722,Normal
snapchat,-0.008075597,google,0.020759,0.016722,Normal
tiktok,-0.032628354,google,0.020759,0.016722,Normal
moloco,0.1124954,google,0.020759,0.016722,Normal
liveintent,0.34699315,google,0.020759,0.016722,Normal
beehiiv,0.26892298,google,0.020759,0.016722,Normal
amazon,0.3407933,google,0.020759,0.016722,Normal
meta,0.45287967,google,0.020759,0.016722,LogNormal
google,0.9845952,google,0.020759,0.016722,LogNormal
snapchat,0.14439774,google,0.020759,0.016722,LogNormal
tiktok,0.2994631,google,0.020759,0.016722,LogNormal
moloco,0.50470936,google,0.020759,0.016722,LogNormal
liveintent,0.47493368,google,0.020759,0.016722,LogNormal
beehiiv,0.63810086,google,0.020759,0.016722,LogNormal
amazon,1.4638056,google,0.020759,0.016722,LogNormal
meta,-0.05683319,google,0.020759,0.023411,Normal
google,-0.006990527,google,0.020759,0.023411,Normal
snapchat,0.0017424884,google,0.020759,0.023411,Normal
tiktok,-0.07683341,google,0.020759,0.023411,Normal
moloco,0.105644025,google,0.020759,0.023411,Normal
liveintent,0.4970645,google,0.020759,0.023411,Normal
beehiiv,0.3211995,google,0.020759,0.023411,Normal
amazon,0.38869148,google,0.020759,0.023411,Normal
meta,0.4813179,google,0.020759,0.023411,LogNormal
google,0.9490954,google,0.020759,0.023411,LogNormal
snapchat,0.13663784,google,0.020759,0.023411,LogNormal
tiktok,0.3041985,google,0.020759,0.023411,LogNormal
moloco,0.47585717,google,0.020759,0.023411,LogNormal
liveintent,0.48450804,google,0.020759,0.023411,LogNormal
beehiiv,0.6057677,google,0.020759,0.023411,LogNormal
amazon,1.3731548,google,0.020759,0.023411,LogNormal
meta,-0.034027178,google,0.020759,0.033445,Normal
google,-0.014059263,google,0.020759,0.033445,Normal
snapchat,-0.008881371,google,0.020759,0.033445,Normal
tiktok,-0.027169269,google,0.020759,0.033445,Normal
moloco,0.09418032,google,0.020759,0.033445,Normal
liveintent,0.27999517,google,0.020759,0.033445,Normal
beehiiv,0.35686564,google,0.020759,0.033445,Normal
amazon,0.27664623,google,0.020759,0.033445,Normal
meta,0.4589575,google,0.020759,0.033445,LogNormal
google,0.8960679,google,0.020759,0.033445,LogNormal
snapchat,0.17529024,google,0.020759,0.033445,LogNormal
tiktok,0.2824215,google,0.020759,0.033445,LogNormal
moloco,0.4968787,google,0.020759,0.033445,LogNormal
liveintent,0.42219552,google,0.020759,0.033445,LogNormal
beehiiv,0.7257908,google,0.020759,0.033445,LogNormal
amazon,1.6713196,google,0.020759,0.033445,LogNormal
meta,-0.03828878,google,0.036328,0.006689,Normal
google,0.032505583,google,0.036328,0.006689,Normal
snapchat,0.0018837459,google,0.036328,0.006689,Normal
tiktok,-0.080192864,google,0.036328,0.006689,Normal
moloco,0.062052377,google,0.036328,0.006689,Normal
liveintent,0.096953675,google,0.036328,0.006689,Normal
beehiiv,0.25864443,google,0.036328,0.006689,Normal
amazon,0.29272273,google,0.036328,0.006689,Normal
meta,0.5232202,google,0.036328,0.006689,LogNormal
google,1.0301945,google,0.036328,0.006689,LogNormal
snapchat,0.15706766,google,0.036328,0.006689,LogNormal
tiktok,0.31125826,google,0.036328,0.006689,LogNormal
moloco,0.5174805,google,0.036328,0.006689,LogNormal
liveintent,0.51154345,google,0.036328,0.006689,LogNormal
beehiiv,0.5969001,google,0.036328,0.006689,LogNormal
amazon,1.2878042,google,0.036328,0.006689,LogNormal
meta,-0.031420358,google,0.036328,0.011706,Normal
google,0.028734993,google,0.036328,0.011706,Normal
snapchat,-0.022713153,google,0.036328,0.011706,Normal
tiktok,-0.07665348,google,0.036328,0.011706,Normal
moloco,0.06287885,google,0.036328,0.011706,Normal
liveintent,0.12938,google,0.036328,0.011706,Normal
beehiiv,0.31069905,google,0.036328,0.011706,Normal
amazon,0.29005688,google,0.036328,0.011706,Normal
meta,0.44053245,google,0.036328,0.011706,LogNormal
google,1.0182884,google,0.036328,0.011706,LogNormal
