channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
meta,-0.043425705,liveintent,0.020759,0.006689,Normal
google,-0.019632518,liveintent,0.020759,0.006689,Normal
snapchat,0.033865113,liveintent,0.020759,0.006689,Normal
tiktok,-0.033069424,liveintent,0.020759,0.006689,Normal
moloco,0.114556625,liveintent,0.020759,0.006689,Normal
liveintent,0.02340668,liveintent,0.020759,0.006689,Normal
beehiiv,0.2853553,liveintent,0.020759,0.006689,Normal
amazon,0.32417414,liveintent,0.020759,0.006689,Normal
meta,0.088521205,liveintent,0.020759,0.006689,LogNormal
google,0.03627138,liveintent,0.020759,0.006689,LogNormal
snapchat,0.06992665,liveintent,0.020759,0.006689,LogNormal
tiktok,0.12095264,liveintent,0.020759,0.006689,LogNormal
moloco,0.25838488,liveintent,0.020759,0.006689,LogNormal
liveintent,1.0232918,liveintent,0.020759,0.006689,LogNormal
beehiiv,0.3352185,liveintent,0.020759,0.006689,LogNormal
amazon,0.74398124,liveintent,0.020759,0.006689,LogNormal
meta,-0.017669396,liveintent,0.020759,0.011706,Normal
google,-0.004438403,liveintent,0.020759,0.011706,Normal
snapchat,0.014703998,liveintent,0.020759,0.011706,Normal
tiktok,-0.012299384,liveintent,0.020759,0.011706,Normal
moloco,0.07065709,liveintent,0.020759,0.011706,Normal
liveintent,0.022238094,liveintent,0.020759,0.011706,Normal
beehiiv,0.32670364,liveintent,0.020759,0.011706,Normal
amazon,0.15812297,liveintent,0.020759,0.011706,Normal
meta,0.084253155,liveintent,0.020759,0.011706,LogNormal
google,0.040449705,liveintent,0.020759,0.011706,LogNormal
snapchat,0.07141145,liveintent,0.020759,0.011706,LogNormal
tiktok,0.11827705,liveintent,0.020759,0.011706,LogNormal
moloco,0.24118857,liveintent,0.020759,0.011706,LogNormal
liveintent,1.0144193,liveintent,0.020759,0.011706,LogNormal
beehiiv,0.33165917,liveintent,0.020759,0.011706,LogNormal
amazon,0.75641865,liveintent,0.020759,0.011706,LogNormal
meta,-0.026453301,liveintent,0.020759,0.016722,Normal
google,0.015560207,liveintent,0.020759,0.016722,Normal
snapchat,-0.011463673,liveintent,0.020759,0.016722,Normal
tiktok,-0.04986645,liveintent,0.020759,0.016722,Normal
moloco,0.13221526,liveintent,0.020759,0.016722,Normal
liveintent,0.022199884,liveintent,0.020759,0.016722,Normal
beehiiv,0.29212287,liveintent,0.020759,0.016722,Normal
amazon,0.3229901,liveintent,0.020759,0.016722,Normal
meta,0.084576204,liveintent,0.020759,0.016722,LogNormal
google,0.041215472,liveintent,0.020759,0.016722,LogNormal
snapchat,0.0707449,liveintent,0.020759,0.016722,LogNormal
tiktok,0.12242301,liveintent,0.020759,0.016722,LogNormal
moloco,0.2581725,liveintent,0.020759,0.016722,LogNormal
liveintent,1.0076787,liveintent,0.020759,0.016722,LogNormal
beehiiv,0.3204352,liveintent,0.020759,0.016722,LogNormal
amazon,0.6978458,liveintent,0.020759,0.016722,LogNormal
meta,-0.068595335,liveintent,0.020759,0.023411,Normal
google,-0.008011564,liveintent,0.020759,0.023411,Normal
snapchat,0.017461607,liveintent,0.020759,0.023411,Normal
tiktok,-0.06556234,liveintent,0.020759,0.023411,Normal
moloco,0.12551926,liveintent,0.020759,0.023411,Normal
liveintent,0.022171672,liveintent,0.020759,0.023411,Normal
beehiiv,0.37854257,liveintent,0.020759,0.023411,Normal
amazon,0.4240532,liveintent,0.020759,0.023411,Normal
meta,0.087210216,liveintent,0.020759,0.023411,LogNormal
google,0.039383702,liveintent,0.020759,0.023411,LogNormal
