channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
meta,-0.034080353,moloco,0.020759,0.006689,Normal
google,-0.021560881,moloco,0.020759,0.006689,Normal
snapchat,0.03673784,moloco,0.020759,0.006689,Normal
tiktok,-0.056370623,moloco,0.020759,0.006689,Normal
moloco,0.021353444,moloco,0.020759,0.006689,Normal
liveintent,0.32477483,moloco,0.020759,0.006689,Normal
beehiiv,0.39470497,moloco,0.020759,0.006689,Normal
amazon,0.33541986,moloco,0.020759,0.006689,Normal
meta,0.08992085,moloco,0.020759,0.006689,LogNormal
google,0.03719624,moloco,0.020759,0.006689,LogNormal
snapchat,0.0694988,moloco,0.020759,0.006689,LogNormal
tiktok,0.13615128,moloco,0.020759,0.006689,LogNormal
moloco,1.0181067,moloco,0.020759,0.006689,LogNormal
liveintent,0.22863197,moloco,0.020759,0.006689,LogNormal
beehiiv,0.38092494,moloco,0.020759,0.006689,LogNormal
amazon,0.7327559,moloco,0.020759,0.006689,LogNormal
meta,-0.04473509,moloco,0.020759,0.011706,Normal
google,-0.014841801,moloco,0.020759,0.011706,Normal
snapchat,0.0037896135,moloco,0.020759,0.011706,Normal
tiktok,-0.059818365,moloco,0.020759,0.011706,Normal
moloco,0.020763647,moloco,0.020759,0.011706,Normal
liveintent,0.4245515,moloco,0.020759,0.011706,Normal
beehiiv,0.20677562,moloco,0.020759,0.011706,Normal
amazon,0.365381,moloco,0.020759,0.011706,Normal
meta,0.08979118,moloco,0.020759,0.011706,LogNormal
google,0.041032262,moloco,0.020759,0.011706,LogNormal
snapchat,0.07315223,moloco,0.020759,0.011706,LogNormal
tiktok,0.12869431,moloco,0.020759,0.011706,LogNormal
moloco,1.0176477,moloco,0.020759,0.011706,LogNormal
liveintent,0.23659948,moloco,0.020759,0.011706,LogNormal
beehiiv,0.3520574,moloco,0.020759,0.011706,LogNormal
amazon,0.6272096,moloco,0.020759,0.011706,LogNormal
meta,-0.035539396,moloco,0.020759,0.016722,Normal
google,-0.02162646,moloco,0.020759,0.016722,Normal
snapchat,0.0027975342,moloco,0.020759,0.016722,Normal
tiktok,-0.042428277,moloco,0.020759,0.016722,Normal
moloco,0.023376586,moloco,0.020759,0.016722,Normal
liveintent,0.4242394,moloco,0.020759,0.016722,Normal
beehiiv,0.32740003,moloco,0.020759,0.016722,Normal
amazon,0.43210354,moloco,0.020759,0.016722,Normal
meta,0.087871164,moloco,0.020759,0.016722,LogNormal
google,0.040634982,moloco,0.020759,0.016722,LogNormal
snapchat,0.07564013,moloco,0.020759,0.016722,LogNormal
tiktok,0.121860705,moloco,0.020759,0.016722,LogNormal
moloco,1.0157853,moloco,0.020759,0.016722,LogNormal
liveintent,0.22645266,moloco,0.020759,0.016722,LogNormal
beehiiv,0.33471876,moloco,0.020759,0.016722,LogNormal
amazon,0.7143801,moloco,0.020759,0.016722,LogNormal
meta,-0.017632619,moloco,0.020759,0.023411,Normal
google,-0.017606528,moloco,0.020759,0.023411,Normal
snapchat,0.0023636434,moloco,0.020759,0.023411,Normal
tiktok,-0.058417123,moloco,0.020759,0.023411,Normal
moloco,0.025432056,moloco,0.020759,0.023411,Normal
liveintent,0.38909084,moloco,0.020759,0.023411,Normal
beehiiv,0.38194743,moloco,0.020759,0.023411,Normal
amazon,0.3171714,moloco,0.020759,0.023411,Normal
meta,0.08869417,moloco,0.020759,0.023411,LogNormal
google,0.040734164,moloco,0.020759,0.023411,LogNormal
snapchat,0.075527295,moloco,0.020759,0.023411,LogNormal
tiktok,0.13280345,moloco,0.020759,0.023411,LogNormal
moloco,1.0088133,moloco,0.020759,0.023411,LogNormal
liveintent,0.21458562,moloco,0.020759,0.023411,LogNormal
beehiiv,0.32905325,moloco,0.020759,0.023411,LogNormal
amazon,0.545694,moloco,0.020759,0.023411,LogNormal
meta,-0.050774448,moloco,0.020759,0.033445,Normal
google,-0.019259648,moloco,0.020759,0.033445,Normal
snapchat,-0.00039392523,moloco,0.020759,0.033445,Normal
tiktok,-0.062251985,moloco,0.020759,0.033445,Normal
moloco,0.037301965,moloco,0.020759,0.033445,Normal
liveintent,0.49887204,moloco,0.020759,0.033445,Normal
beehiiv,0.32416123,moloco,0.020759,0.033445,Normal
amazon,0.44343948,moloco,0.020759,0.033445,Normal
meta,0.089595065,moloco,0.020759,0.033445,LogNormal
google,0.04327169,moloco,0.020759,0.033445,LogNormal
snapchat,0.07096414,moloco,0.020759,0.033445,LogNormal
tiktok,0.12234936,moloco,0.020759,0.033445,LogNormal
moloco,0.9830772,moloco,0.020759,0.033445,LogNormal
liveintent,0.22024567,moloco,0.020759,0.033445,LogNormal
