channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
meta,-0.06284399,snapchat,0.020759,0.006689,Normal
google,-0.035481907,snapchat,0.020759,0.006689,Normal
snapchat,0.018563671,snapchat,0.020759,0.006689,Normal
tiktok,-0.06405046,snapchat,0.020759,0.006689,Normal
moloco,0.13383111,snapchat,0.020759,0.006689,Normal
liveintent,0.480366,snapchat,0.020759,0.006689,Normal
beehiiv,0.30884394,snapchat,0.020759,0.006689,Normal
amazon,0.36660147,snapchat,0.020759,0.006689,Normal
meta,0.37928167,snapchat,0.020759,0.006689,LogNormal
google,0.07196833,snapchat,0.020759,0.006689,LogNormal
snapchat,1.0138491,snapchat,0.020759,0.006689,LogNormal
tiktok,0.2569372,snapchat,0.020759,0.006689,LogNormal
moloco,0.41355544,snapchat,0.020759,0.006689,LogNormal
liveintent,0.37780106,snapchat,0.020759,0.006689,LogNormal
beehiiv,0.558664,snapchat,0.020759,0.006689,LogNormal
amazon,1.3888017,snapchat,0.020759,0.006689,LogNormal
meta,-0.031316172,snapchat,0.020759,0.011706,Normal
google,-0.021077588,snapchat,0.020759,0.011706,Normal
snapchat,0.014920321,snapchat,0.020759,0.011706,Normal
tiktok,-0.04996841,snapchat,0.020759,0.011706,Normal
moloco,0.08178991,snapchat,0.020759,0.011706,Normal
liveintent,0.3820372,snapchat,0.020759,0.011706,Normal
beehiiv,0.3134499,snapchat,0.020759,0.011706,Normal
amazon,0.2583583,snapchat,0.020759,0.011706,Normal
meta,0.3332972,snapchat,0.020759,0.011706,LogNormal
google,0.07318647,snapchat,0.020759,0.011706,LogNormal
snapchat,1.0085881,snapchat,0.020759,0.011706,LogNormal
tiktok,0.2346123,snapchat,0.020759,0.011706,LogNormal
moloco,0.39794257,snapchat,0.020759,0.011706,LogNormal
liveintent,0.33707952,snapchat,0.020759,0.011706,LogNormal
beehiiv,0.6234964,snapchat,0.020759,0.011706,LogNormal
amazon,1.3646169,snapchat,0.020759,0.011706,LogNormal
meta,-0.065423004,snapchat,0.020759,0.016722,Normal
google,-0.029555107,snapchat,0.020759,0.016722,Normal
snapchat,0.013745068,snapchat,0.020759,0.016722,Normal
tiktok,-0.059423935,snapchat,0.020759,0.016722,Normal
moloco,0.091988295,snapchat,0.020759,0.016722,Normal
liveintent,0.46538872,snapchat,0.020759,0.016722,Normal
beehiiv,0.2877603,snapchat,0.020759,0.016722,Normal
amazon,0.42095438,snapchat,0.020759,0.016722,Normal
meta,0.34325045,snapchat,0.020759,0.016722,LogNormal
google,0.07184036,snapchat,0.020759,0.016722,LogNormal
snapchat,0.99454516,snapchat,0.020759,0.016722,LogNormal
tiktok,0.23266914,snapchat,0.020759,0.016722,LogNormal
moloco,0.38142404,snapchat,0.020759,0.016722,LogNormal
