channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
meta,-0.039069198,tiktok,0.020759,0.006689,Normal
google,-0.03788911,tiktok,0.020759,0.006689,Normal
snapchat,-0.0018726599,tiktok,0.020759,0.006689,Normal
tiktok,0.02058318,tiktok,0.020759,0.006689,Normal
moloco,0.11588134,tiktok,0.020759,0.006689,Normal
liveintent,0.48422614,tiktok,0.020759,0.006689,Normal
beehiiv,0.23735675,tiktok,0.020759,0.006689,Normal
amazon,0.29458046,tiktok,0.020759,0.006689,Normal
meta,0.090251885,tiktok,0.020759,0.006689,LogNormal
google,0.027803976,tiktok,0.020759,0.006689,LogNormal
snapchat,0.06072545,tiktok,0.020759,0.006689,LogNormal
tiktok,1.013093,tiktok,0.020759,0.006689,LogNormal
moloco,0.2501371,tiktok,0.020759,0.006689,LogNormal
liveintent,0.18141973,tiktok,0.020759,0.006689,LogNormal
beehiiv,0.26056617,tiktok,0.020759,0.006689,LogNormal
amazon,0.7479846,tiktok,0.020759,0.006689,LogNormal
meta,-0.027078146,tiktok,0.020759,0.011706,Normal
google,-0.03560794,tiktok,0.020759,0.011706,Normal
snapchat,-0.0016486824,tiktok,0.020759,0.011706,Normal
tiktok,0.01925683,tiktok,0.020759,0.011706,Normal
moloco,0.09149956,tiktok,0.020759,0.011706,Normal
liveintent,0.49917945,tiktok,0.020759,0.011706,Normal
beehiiv,0.26285353,tiktok,0.020759,0.011706,Normal
amazon,0.2847562,tiktok,0.020759,0.011706,Normal
meta,0.09089721,tiktok,0.020759,0.011706,LogNormal
google,0.0314439,tiktok,0.020759,0.011706,LogNormal
snapchat,0.06686791,tiktok,0.020759,0.011706,LogNormal
tiktok,0.9971638,tiktok,0.020759,0.011706,LogNormal
moloco,0.25613636,tiktok,0.020759,0.011706,LogNormal
liveintent,0.1939166,tiktok,0.020759,0.011706,LogNormal
beehiiv,0.30066746,tiktok,0.020759,0.011706,LogNormal
amazon,0.771826,tiktok,0.020759,0.011706,LogNormal
meta,-0.009291678,tiktok,0.020759,0.016722,Normal
google,-0.03197484,tiktok,0.020759,0.016722,Normal
snapchat,-0.0061365105,tiktok,0.020759,0.016722,Normal
tiktok,0.019928161,tiktok,0.020759,0.016722,Normal
moloco,0.06191752,tiktok,0.020759,0.016722,Normal
liveintent,0.33777463,tiktok,0.020759,0.016722,Normal
beehiiv,0.3107914,tiktok,0.020759,0.016722,Normal
amazon,0.26307446,tiktok,0.020759,0.016722,Normal
meta,0.091506556,tiktok,0.020759,0.016722,LogNormal
google,0.031318046,tiktok,0.020759,0.016722,LogNormal
snapchat,0.06835264,tiktok,0.020759,0.016722,LogNormal
tiktok,0.97455865,tiktok,0.020759,0.016722,LogNormal
moloco,0.26543003,tiktok,0.020759,0.016722,LogNormal
liveintent,0.15923111,tiktok,0.020759,0.016722,LogNormal
beehiiv,0.27586496,tiktok,0.020759,0.016722,LogNormal
amazon,0.7899237,tiktok,0.020759,0.016722,LogNormal
meta,-0.034254573,tiktok,0.020759,0.023411,Normal
google,-0.023680145,tiktok,0.020759,0.023411,Normal
snapchat,-0.018363444,tiktok,0.020759,0.023411,Normal
tiktok,0.013801634,tiktok,0.020759,0.023411,Normal
moloco,0.109134495,tiktok,0.020759,0.023411,Normal
liveintent,0.36139196,tiktok,0.020759,0.023411,Normal
beehiiv,0.26896554,tiktok,0.020759,0.023411,Normal
amazon,0.264957,tiktok,0.020759,0.023411,Normal
meta,0.09810116,tiktok,0.020759,0.023411,LogNormal
google,0.030215006,tiktok,0.020759,0.023411,LogNormal
snapchat,0.068931594,tiktok,0.020759,0.023411,LogNormal
tiktok,0.93515575,tiktok,0.020759,0.023411,LogNormal
moloco,0.25102863,tiktok,0.020759,0.023411,LogNormal
liveintent,0.1919049,tiktok,0.020759,0.023411,LogNormal
beehiiv,0.2814134,tiktok,0.020759,0.023411,LogNormal
amazon,0.68951505,tiktok,0.020759,0.023411,LogNormal
meta,-0.034960054,tiktok,0.020759,0.033445,Normal
google,-0.02440582,tiktok,0.020759,0.033445,Normal
snapchat,-0.025675986,tiktok,0.020759,0.033445,Normal
tiktok,0.003214229,tiktok,0.020759,0.033445,Normal
moloco,0.109164074,tiktok,0.020759,0.033445,Normal
liveintent,0.44343203,tiktok,0.020759,0.033445,Normal
beehiiv,0.2548911,tiktok,0.020759,0.033445,Normal
amazon,0.4177955,tiktok,0.020759,0.033445,Normal
meta,0.10991256,tiktok,0.020759,0.033445,LogNormal
google,0.027479252,tiktok,0.020759,0.033445,LogNormal
snapchat,0.060632605,tiktok,0.020759,0.033445,LogNormal
tiktok,0.86597145,tiktok,0.020759,0.033445,LogNormal
moloco,0.27128258,tiktok,0.020759,0.033445,LogNormal
liveintent,0.22199759,tiktok,0.020759,0.033445,LogNormal
beehiiv,0.29902384,tiktok,0.020759,0.033445,LogNormal
amazon,0.862748,tiktok,0.020759,0.033445,LogNormal
meta,-0.028234774,tiktok,0.036328,0.006689,Normal
google,-0.033641554,tiktok,0.036328,0.006689,Normal
snapchat,-0.017322011,tiktok,0.036328,0.006689,Normal
tiktok,0.035938118,tiktok,0.036328,0.006689,Normal
moloco,0.13013875,tiktok,0.036328,0.006689,Normal
liveintent,0.4888684,tiktok,0.036328,0.006689,Normal
beehiiv,0.21017587,tiktok,0.036328,0.006689,Normal
amazon,0.18566185,tiktok,0.036328,0.006689,Normal
meta,0.09051333,tiktok,0.036328,0.006689,LogNormal
google,0.02987751,tiktok,0.036328,0.006689,LogNormal
snapchat,0.06581001,tiktok,0.036328,0.006689,LogNormal
tiktok,1.0291535,tiktok,0.036328,0.006689,LogNormal
moloco,0.2528521,tiktok,0.036328,0.006689,LogNormal
liveintent,0.13049003,tiktok,0.036328,0.006689,LogNormal
